Name,Type,ShellID,PerkID,WeaponID,DeviceID,AttachmentID,Requirements,Prerequisite,Levels,Tooltip
Bison,"Shell","Bison","-","-","-","-","(Body=0,Tech=0,Hardware=0)","-","2","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""40138EC241A056E61134D8A555069188"", "":: <D>Kinetic Resistance</>\r\n> <C>25%</> increased explosive resistance\r\n\r\n:: <D>Survival Instinct</>\r\n> <C>50%</> increased snare + stun resistance, snare + stun immunity while Core active\r\n\r\n:: <D>Core Overdrive</>\r\n> <C>25%</> increased Core generation""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""AD2F47D243110C56CA3C928DBE080046"", "":: <D>Kinetic Resistance</>\r\n> <C>25%</> increased explosive resistance\r\n> <C>25%</> reduced aux power drain from all sources\r\n\r\n:: <D>Survival Instinct</>\r\n> <C>50%</> increased snare + stun resistance, snare + stun immunity while Core active\r\n> While below <C>25%</> defense: Aux power drain immunity, <C>25%</> reduced loadout speed penalty and gain an additional aerial maneuver charge\r\n\r\n:: <D>Core Overdrive</>\r\n> <C>25%</> increased Core generation\r\n> <C>15%</> increased speed + dexterity while Core active""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""6E1A61BE4460216536A8DE88A913416D"", "":: <D>Kinetic Resistance</>\r\n> <C>25%</> increased explosive resistance\r\n> <C>25%</> reduced aux power drain from all sources\r\n> <C>25%</> reduced direct vitals damage received to during maneuvers\r\n\r\n:: <D>Survival Instinct</>\r\n> <C>50%</> increased snare + stun resistance, snare + stun immunity while Core active\r\n> While below <C>25%</> defense: Aux power drain immunity, <C>25%</> reduced loadout speed penalty and gain an additional aerial maneuver charge\r\n> While below <C>50%</> vitals: <C>50%</> increased vitals restored from all sources\r\n\r\n:: <D>Core Overdrive</>\r\n> <C>25%</> increased Core generation\r\n> <C>15%</> increased speed + dexterity while Core active\r\n> <C>0-25%</> Reduced Core activation cost scaling proportionally with remaining vitals from <C>100-50%</>""))"
Hydra,"Shell","Hydra","-","-","-","-","(Body=10,Tech=10,Hardware=0)","-","2","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""98C2F5C144B9057D3474CBBCB4944873"", "":: <D>Adrenal Feedback</>\r\n> <C>25%</> of visible damage dealt within <C>3 m</> or during maneuvers restored to vitals\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Regenetics</>\r\n> <C>5 /s</> additional vitals regeneration\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Adaptive Recovery</>\r\n> Vitals restored by Adrenal Feeback, Regenetics + Adaptive Recovery increases + restores max vitals up to <C>200</> vitals""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""CD0BE258478ABE0FB52603A234DB1FCD"", "":: <D>Adrenal Feedback</>\r\n> <C>25%</> of visible damage dealt within <C>3 m</> or during maneuvers restored to vitals\r\n> <C>5%</> increased speed, dexterity + backup weapon damage on killing an enemy within <C>3 m</> or during maneuvers, stacking up to <C>25%</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Regenetics</>\r\n> <C>5 /s</> additional vitals regeneration\r\n> <C>10 /s</> additional defense regeneration\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Adaptive Recovery</>\r\n> Vitals restored by Adrenal Feeback, Regenetics + Adaptive Recovery increases + restores max vitals up to <C>200</> vitals\r\n> <C>50</> vitals restored on Core activation, <C>10 s</> cooldown""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""BF94D6144ADF4D4E560B8FA5A53A6F86"", "":: <D>Adrenal Feedback</>\r\n> <C>25%</> of visible damage dealt within <C>3 m</> or during maneuvers restored to vitals\r\n> <C>5%</> increased speed, dexterity + backup weapon damage on killing an enemy within <C>3 m</> or during maneuvers, stacking up to <C>25%</>\r\n> Neuro-link \'Parasite\' while Core active: Leech <C>5</> vitals and snare all visible enemies every <C>0.5 s</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Regenetics</>\r\n> <C>5 /s</> additional vitals regeneration\r\n> <C>10 /s</> additional defense regeneration\r\n> Defense regeneration restores max defense while Core is fully charged\r\n<B>></> <C>75%</> <B>reduced defense regeneration while restoring max defense</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Adaptive Recovery</>\r\n> Vitals restored by Adrenal Feeback, Regenetics + Adaptive Recovery increases + restores max vitals up to <C>200</> vitals\r\n> <C>50</> vitals restored on Core activation, <C>10 s</> cooldown\r\n> <C>50</> vitals restored on defense depletion, <C>10 s</> cooldown""))"
Ghost,"Shell","Ghost","-","-","-","-","(Body=0,Tech=15,Hardware=0)","-","2","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""00475715494F08DCB1DF068F27E3568B"", "":: <D>Tactical Camouflage</>\r\n> Reduces visibility, undetectable by proximity devices + targeting systems, <C>50</> additional temporary defense for <C>2 s</> after deactivation, <C>2 s</> cooldown\r\n<B>></> <C>50%</> <B>defense regeneration and damage received bypasses defense while active</>\r\n<B>> Deactivates on interactions + offensive actions</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Heightened Proficiency</>\r\n> <C>15%</> increased weapon dexterity, accuracy + backup weapon damage\r\n\r\n:: <D>Disruptive Measures</>\r\n> Scrambles radar profile while moving with camouflage active""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""E3224E6E4DB3E735B3257297834E33E7"", "":: <D>Tactical Camouflage</>\r\n> Reduces visibility, undetectable by proximity devices + targeting systems, <C>50</> additional temporary defense for <C>2 s</> after deactivation, <C>2 s</> cooldown\r\n> <C>25%</> reduced loadout speed penalty while active\r\n<B>></> <C>50%</> <B>reduced defense regeneration and damage received bypasses defense while active</>\r\n<B>> Deactivates on interactions + offensive actions</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Heightened Proficiency</>\r\n> <C>15%</> increased weapon dexterity, accuracy + backup weapon damage\r\n> <C>50%</> reduced explosive damage received during maneuvers\r\n\r\n:: <D>Disruptive Measures</>\r\n> Scrambles radar profile while moving with camouflage active\r\n> Surge AOE on camouflage deactivate: Disable enemies + enemy devices within <C>4 m</> for <C>2 s</>\r\nShroud on camouflage activate: undetectable by all equipment for <C>2 s</>""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""A6986790499F3297F7C2838C8A5D64E2"", "":: <D>Tactical Camouflage</>\r\n> Reduces visibility, undetectable by proximity devices + targeting systems, <C>50</> additional temporary defense for <C>2 s</> after deactivation, <C>2 s</> cooldown\r\n> <C>25%</> reduced loadout speed penalty while active\r\n> Deep Camouflage: Activates <C>2 s</> after being stationary or crouched, <C>50%</> reduced visibility and undetectable by targeting optics\r\n<B>></> <C>50%</> <B>defense regeneration and damage received bypasses defense while active</>\r\n<B>> Deactivates on interactions + offensive actions</>\r\n<B>></> <C>2 s</> <B>disable + stun on taking direct damage while Deep Camouflage active</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Heightened Proficiency</>\r\n> <C>15%</> increased weapon dexterity, accuracy + backup weapon damage\r\n> <C>50%</> reduced explosive damage received during maneuvers\r\n> <C>25%</> additional headshot multiplier with firearms + defense bypass with backup weapons for <C>2 s</> after camouflage deactivation\r\n\r\n:: <D>Disruptive Measures</>\r\n> Scrambles radar profile while moving with camouflage active\r\n> Surge AOE on camouflage deactivate: Disable enemies + enemy devices within <C>4 m</> for <C>2 s</>\r\nShroud on camouflage activate: undetectable by all equipment for <C>2 s</>\r\n> Neuro-link \'Breach\' on core activation: Deals <C>25</> vital damage and <C>2 s</> disable + snare to visible or detected enemies, executes if target below <C>25%</> vitals, destroys visible or detected devices, <C>10 s</> cooldown""))"
Dragon,"Shell","Dragon","-","-","-","-","(Body=0,Tech=10,Hardware=10)","-","2","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""293CDDD44B45B6C1B63D1BA0E12B9E74"", "":: <D>Drifter Jump-Pack</>\r\n> Can activate hover while in air, <C>8 m/s</> hover speed up to <C>12 m/s</> while boosting, enhanced dodge + dive, unaffected by loadout + movement speed penalties while hover active, body impacts while boosting can knockback + knockdown, <C>2 s</> cooldown\r\n<B>> Deactivates on boost and Ground Slam impact</>\r\n<B>> Boosting drains aux power</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Scorch Hazard</>\r\n> Backdraft AOE on drifter pack activation or body impact while boosting: Ignites enemies within <C>4 m</> for <C>25</> fire damage, <C>3 s</> cooldown\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Thermal Nano-Mesh</>\r\n> <C>50%</> increased fire resistance, fire burn stat reduction immunity""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""F138CD5A45F9235816E17183981B349A"", "":: <D>Drifter Jump-Pack</>\r\n> Can activate hover while in air, <C>8 m/s</> hover speed up to <C>12 m/s</> while boosting, enhanced dodge + dive, unaffected by loadout + movement speed penalties while hover active, body impacts while boosting can knockback + knockdown, <C>2 s</> cooldown\r\n> Air Dash maneuver: Launch in movement direction while in air and hover not active, can knockback + knockdown\r\n<B>> Deactivates on boost and Ground Slam impact</>\r\n<B>> Boosting drains aux power</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Scorch Hazard</>\r\n> Backdraft AOE on drifter pack activation or body impact while boosting: Ignites enemies within <C>4 m</> for <C>25</> fire damage, <C>3 s</> cooldown\r\n> Ignites surrounding area for <C>3 s</> on death\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Thermal Nano-Mesh</>\r\n> <C>50%</> increased fire resistance, fire burn stat reduction immunity\r\n> <C>0-50%</> increased explosive resistance while hovering, scaling proportionally with speed from <C>0-12 m/s</>""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""CFAC8C0846A363C006116FA1B6CFE795"", "":: <D>Drifter Jump-Pack</>\r\n> Can activate hover while in air, <C>8 m/s</> hover speed up to <C>12 m/s</> while boosting, enhanced dodge + dive, unaffected by loadout + movement speed penalties while hover active, body impacts while boosting can knockback + knockdown, <C>2 s</> cooldown\r\n> Air Dash maneuver: Launch in movement direction while in air and hover not active, can knockback + knockdown\r\n> Ground Slam maneuver: Launch downward to ground while in air, deals <C>75-50</> explosive damage with a <C>5 m</> range, enemies within <C>2.5 m</> are knocked down and receive <C>50</> fire damage, requires <C>3 m</> altitude, <C>10 s</> cooldown\r\n<B>> Deactivates on boost and Ground Slam impact</>\r\n<B>> Boosting drains aux power</>\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Scorch Hazard</>\r\n> Backdraft AOE on drifter pack activation or body impact while boosting: Ignites enemies within <C>4 m</> for <C>25</> fire damage, <C>3 s</> cooldown\r\n> Ignites surrounding area for <C>3 s</> on death\r\n> Neuro-link \'Combust\' on Core activation: Ignites visible enemies, dealing <C>25</> fire damage per enemy, up to <C>100</> damage, <C>10 s</> cooldown\r\n<B>> Can be disabled</>\r\n\r\n:: <D>Thermal Nano-Mesh</>\r\n> <C>50%</> increased fire resistance, fire stat reduction immunity\r\n> <C>0-50%</> increased explosive resistance while hovering, scaling proportionally with speed from <C>0-12 m/s</>\r\n> <C>0-30 /s</> additional defense regeneration with no delay while hovering or during maneuvers, scaling proportionally with speed from <C>0-12 m/s</>""))"
Rhino,"Shell","Rhino","-","-","-","-","(Body=15,Tech=0,Hardware=5)","-","2","(NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""0244F96740F9337D4C451CBD59B5AAA9"", "":: <D>Resilient Momentum</>\r\n> Increased knockdown resistance + force, <C>50%</> reduced fall damage\r\n\r\n:: <D>Concussive Impulse</>\r\n> Shockwave AOE on body impact or heavy landing: Deals <C>50-25</> shock damage and <C>2 s</> stun, disable + snare to enemies within <C>4 m</>, <C>3 s</> cooldown\r\n\r\n:: <D>Reactive Cladding</>\r\n> <C>50%</> increased explosive resistance""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""01F2757A450F10A9E91A1983D441B90C"", "":: <D>Resilient Momentum</>\r\n> Increased knockdown resistance + force, <C>50%</> reduced fall damage\r\n> <C>25%</> reduced loadout speed penalty while defence above <C>75%</>\r\n\r\n:: <D>Concussive Impulse</>\r\n> Shockwave AOE on body impact or heavy landing: Deals <C>50-25</> shock damage and <C>2 s</> stun, disable + snare to enemies within <C>4 m</>, <C>3 s</> cooldown\r\n> <C>50%</> of damage dealt by Shockwave restored to defense + max defense\r\n\r\n:: <D>Reactive Cladding</>\r\n> <C>50%</> increased explosive resistance\r\n> <C>25-0%</> reduced direct defense damage received, scaling proportionally with speed from <C>4-8 m/s</>""),NSLOCTEXT(""[64207FE54382D8C5075761A26904DA95]"", ""778918D74D3ECDF9ACFB688B174D394A"", "":: <D>Resilient Momentum</>\r\n> Increased knockdown resistance + force, <C>50%</> reduced fall damage\r\n> <C>25%</> reduced loadout speed penalty while defence above <C>75%</>\r\n> Bolster while Core active: Bleed, knockdown + defense penetration immunity, <C>30 /s</> improved defense regeneration\r\n<B>></> <C>40%</> <B>reduced speed + vitals restored from all sources while Bolster active</>\r\n\r\n:: <D>Concussive Impulse</>\r\n> Shockwave AOE on body impact or heavy landing: Deals <C>50-25</> shock damage and <C>2 s</> stun, disable + snare to enemies within <C>4 m</>, <C>3 s</> cooldown\r\n> <C>50%</> of damage dealt by Shockwave restored to defense + max defense\r\n> <C>25%</> of direct damage received reflected as shock damage + <C>0.5 s</> disable if enemy within <C>3 m</> while Core is fully charged\r\n\r\n:: <D>Reactive Cladding</>\r\n> <C>50%</> increased explosive resistance\r\n> <C>25-0%</> reduced direct defense damage received, scaling proportionally with speed from <C>4-8 m/s</>\r\n> Damage taken to vitals is restored to defense when defense regeneration resumes""))"
Fists,"Weapon","-","-","Fists","-","-","(Body=0,Tech=0,Hardware=0)","-","0",""
ThrowingKnives,"Weapon","-","-","Throwing Knives","-","-","(Body=5,Tech=0,Hardware=10)","-","0",""
Sword,"Weapon","-","-","Sword","-","-","(Body=10,Tech=10,Hardware=5)","-","0",""
AugmentedFists,"Weapon","-","-","Augmented Fists","-","-","(Body=10,Tech=5,Hardware=5)","-","0",""
Pistol,"Weapon","-","-","Pistol","-","-","(Body=0,Tech=0,Hardware=0)","-","0",""
